rank,game_name,game_href,geek_rating,avg_rating,num_voters,description,yearpublished,minplayers,maxplayers,minplaytime,maxplaytime,minage,avgweight,best_num_players,designers,mechanics,categories
364,Small World,https://boardgamegeek.com/boardgame/40692/small-world,7.104,7.21,71577.0,"In Small World, players vie for conquest and control of a world that is simply too small to accommodate them all.

Designed by Philippe Keyaerts as a fantasy follow-up to his award-winning Vinci, Small World is inhabited by a zany cast of characters such as dwarves, wizards, amazons, giants, orcs, and even humans, who use their troops to occupy territory and conquer adjacent lands in order to push the other races off the face of the earth.

Picking the right combination from the 14 different fantasy races and 20 unique special powers, players rush to expand their empires - often at the expense of weaker neighbors. Yet they must also know when to push their own over-extended civilization into decline and ride a new one to victory!

On each turn, you either use the multiple tiles of your chosen race (type of creatures) to occupy adjacent (normally) territories - possibly defeating weaker enemy races along the way, or you give up on your race letting it go &quot;into decline&quot;. A race in decline is designated by flipping the tiles over to their black-and-white side.

At the end of your turn, you score one point (coin) for each territory your races occupy. You may have one active race and one race in decline on the board at the same time. Your occupation total can vary depending on the special abilities of your race and the territories they occupy. After the final round, the player with the most coins wins.

Clarifications: available in a pinned forum post.

",2009,2,5,40,80,8,2.3483,"[{'min': 4, 'max': 4}]",['Philippe Keyaerts'],"['Area Majority / Influence', 'Area Movement', 'Dice Rolling', 'Hidden Victory Points', 'Increase Value of Unchosen Resources', 'Variable Player Powers']","['Fantasy', 'Fighting', 'Territory Building']"
365,Nusfjord,https://boardgamegeek.com/boardgame/234277/nusfjord,7.104,7.64,6464.0,"Nusfjord is a tranquil fishing village in the Lofoten archipelago in northern Norway. Fifty years ago, business was blooming when the codfish would come for spawning. Today, Nusfjord is more of a museum than a village, with less than a hundred people living there. Imagine how beautiful this place must be given that you must pay a fee to even look at the houses. Cruise ships used to pass by this long and now mostly abandoned island world.

In the time period in which the game Nusfjord is set, things looked quite different. Sailing ships dominate the fjord. The rocks around Nusfjord are covered in trees. As the owner of a major fishing company in Nusfjord on the Lofoten archipelago, your goal is to develop the harbor and the surrounding landscape, and to succeed you must enlarge your fleet, clear the forest, erect new buildings, and satisfy the local elders. Others do this as well, of course, so the competition is steep.

As with Agricola and Ora et Labora, Nusfjord has a worker placement mechanism, with each player starting with three workers that they place on a central board to trigger certain actions. Whether a player wants to clear a forest on their own board, buy a new cutter, or construct a building, they must place a worker on the appropriate space &mdash; which is possible only if room is available for this worker. Money is scarce, and one of the quicker and easier ways to get it is to place shares of your own company on the market. This risky action could be worthwhile because if you succeed in buying these shares yourself, you have usually won money and not suffered any disadvantages; however, if an opponent acquires these shares, then you must allow them to benefit from your hard-earned catches at sea. The village elders might want their own share of your catch as well, especially if you've visited them to take certain actions in the village, so if you don't take care, your catch could end up entirely in the hands of others and your camp will be empty.

",2017,1,5,20,100,12,2.8489,"[{'min': 1, 'max': 1}, {'min': 3, 'max': 3}]",['Uwe Rosenberg'],"['Open Drafting', 'Turn Order: Claim Action', 'Worker Placement']","['Economic', 'Nautical']"
366,Arboretum,https://boardgamegeek.com/boardgame/140934/arboretum,7.101,7.29,20925.0,"Arboretum is a strategy card game for 2-4 players, aged 10 and up, that combines set collection, tile-laying and hand management while playing in about 25 minutes. Players try to have the most points at the end of the game by creating beautiful garden paths for their visitors.

The deck has 80 cards in ten different colors, with each color featuring a different species of tree; each color has cards numbered 1 through 8, and the number of colors used depends on the number of players. Players start with a hand of seven cards. On each turn, a player draws two cards (from the deck or one or more of the discard piles), lays a card on the table as part of her arboretum, then discards a card to her personal discard pile.

When the deck is exhausted, players compare the cards that remain in their hands to determine who can score each color. For each color, the player(s) with the highest value of cards in hand of that color scores for a path of trees in her arboretum that begins and ends with that color; a path is a orthogonally adjacent chain of cards with increasing values. For each card in a path that scores, the player earns one point; if the path consists solely of trees of the color being scored, the player scores two points per card. If a player doesn't have the most value for a color, she scores zero points for a path that begins and ends with that color. Whoever has the most points wins.

",2015,2,4,30,30,8,2.1281,"[{'min': 2, 'max': 2}]",['Dan Cassar'],"['Hand Management', 'Pattern Building', 'Set Collection', 'Tile Placement']","['Card Game', 'Number']"
367,The Witcher: Old World,https://boardgamegeek.com/boardgame/331106/the-witcher-old-world,7.101,7.99,6030.0,"In The Witcher: Old World, you become a witcher &mdash; a professional monster slayer &mdash; and immerse yourself in the legendary universe of The Witcher franchise.

Set years before the saga of Geralt of Rivia, The Witcher: Old World explores a time when monsters roamed the Continent in greater numbers, creating a constant peril that required the attention of expertly trained monster slayers, known as witchers. Five competing schools trained their adepts through brutal regimes, and once fully prepared, these now-recognized witchers set off to explore the land, seeking trouble and adventures and helping others for coin.

In this competitive adventure board game, 2-5 players travel across a vast map, embarking on masterfully penned quests, encountering and making ambiguous moral choices, fighting monsters &mdash; and sometimes brawling with other witchers to defend their school's honor!

The game lets players construct their own unique decks of cards by choosing from a wide range of abilities: attacks, dodges, and witcher combat magic &mdash; known as &quot;signs&quot;. Through card synergy, players aim to achieve powerful combos as they utilize their witcher school's hallmark abilities to their full potential. Quests, battles, and even dice poker allow each player to earn money, obtain new items, and train their skills.

The first player to acquire 4-6 trophies, with the number being set at the start of play, wins the game instantly. You can obtain trophies by killing monsters, instigating and winning chaotic tavern brawls against another witcher, training attributes to their highest level, and resolving certain quests throughout their adventure.

The game will include a Solo Mode that will allow for a solitaire adventure on the Continent.

",2023,1,5,90,150,14,2.859,"[{'min': 2, 'max': 3}]",['Łukasz Woźniak'],"['Card Play Conflict Resolution', 'Deck, Bag, and Pool Building', 'Dice Rolling', 'Events', 'Hand Management', 'Increase Value of Unchosen Resources']","['Adventure', 'Fantasy', 'Fighting', 'Miniatures', 'Novel-based', 'Travel']"
368,Bonfire,https://boardgamegeek.com/boardgame/304420/bonfire,7.1,7.65,6595.0,"The bonfires are sources of light, energy and warmth created by the guardians of light in order to brighten the cities on the otherwise dark planet. The residents of the cities however, took the bonfires for granted and exploited them for their personal gain. Disappointed the guardians of light retreated and let the bonfires extinguish. The citizens could no longer live in the now dark cities and were forced to leave.

You are a group of gnomes living close to the cities and you also need and the light of the bonfires. Missing it now, you try yourself to visit the cities and learn how to ignite the bonfires once again: You must visit the guardians of light on their holy islands and ask for tasks to prove your good will. For each completed task, they will re-ignite one extinguished bonfire. Whoever manages to earn the greatest trust from the guardians and manages to brighten their city the most will win the game.

The engine for Bonfire are the three-coloured tiles you will be puzzling onto your player board. When you manage to place the same colours adjacent to one another, you will receive more action tiles of that specific kind. This will allow you to specialize in certain types of actions and pursue different strategies. 
You can use the tiles to perform the following actions: 
- Move your ship to an island 
- Receive a task from an island by spending two resources 
- Invite a guardian of light into your city 
- Trigger a procession of guardians through your city and gain resources. 
- Add a landscape tile to your city (this is where the processions take place) 
- Recruit a gnome gaining a special ability or victory points 
- Find support by the last bonfire, gaining portals, resources or action tiles

You will play in turn order until a fixed number of tasks has been solved, after which each player has 5 more turns. During final scoring, you will receive points for your completed tasks (the bonfires) and any improvements made there (portals, landscapes or guardians).

&mdash;description from publisher

",2020,1,4,70,100,12,3.6276,"[{'min': 3, 'max': 3}]",['Stefan Feld'],"['Market', 'Pattern Building', 'Point to Point Movement', 'Set Collection', 'Solo / Solitaire Game', 'Tile Placement']","['Fantasy', 'Puzzle']"
369,Merchants & Marauders,https://boardgamegeek.com/boardgame/25292/merchants-and-marauders,7.1,7.4,14310.0,"Merchants &amp; Marauders lets you live the life of an influential merchant or a dreaded pirate in the Caribbean during the Golden Age of Piracy. Seek your fortune through trade, rumor hunting, missions, and of course, plundering.  Modify your ship, buy impressive vessels, load deadly special ammunition, and hire specialist crew members. Will your captain gain eternal glory and immense wealth - or find his wet grave under the stormy surface of the Caribbean Sea?

In Merchants and Marauders, players take on the role of a captain of a small vessel in the Caribbean.  The goal is to be the first to achieve 10 &quot;glory&quot; points through performing daring deeds (through the completion of missions or rumors), crushing your enemies (through defeating opponents and NPCs in combat), amassing gold, performing an epic plunder or pulling off the trade of a lifetime, and buying a grand ship.  While some points earned from performing various tasks are permanent, players earn points for amassing gold, which can be stolen or lost (or at least diminished) if their captain is killed.  Points due to gold are hidden so there's some uncertainty about when the game will end.

A big component of the game is whether (or when) to turn &quot;pirate&quot; or remain as a trader or neutral party. Both careers are fraught with danger: pirates are hunted by NPCs (and other players) for their bounty and blocked to certain ports while traders are hunted by non-player pirates as well as their opponents and generally have to sacrifice combat capability for cargo capacity.  Although players can kill each other, there is no player elimination as players may draw a new captain (with a penalty) so it's possible to come back from defeat.

",2010,2,4,180,180,13,3.248,"[{'min': 4, 'max': 4}]","['Kasper Aagaard', 'Christian Marcussen']","['Action Points', 'Area Movement', 'Bias', 'Dice Rolling', 'Events', 'Pick-up and Deliver']","['Adventure', 'Fighting', 'Nautical', 'Pike and Shot', 'Pirates', 'Transportation']"
370,Dead of Winter: The Long Night,https://boardgamegeek.com/boardgame/193037/dead-of-winter-the-long-night,7.1,7.53,9993.0,"Dead of Winter: The Long Night is a standalone expansion for Dead of Winter: A Crossroads Game that introduces the Raxxon location where horrible experiments will spill out into the town unless players can contain them.

The game has players at a new colony location trying to survive with new survivors against brand new challenges. Can you handle being raided by members of other colonies? Will you explore more and unravel the mysteries of the Raxxon pharmaceutical location to find powerful items but release stronger enemies? Or will you upgrade your colony to help it better withstand the undead horde? These are all choices you will get to make in this new set, and if you want, you can mix in the survivors and cards from the original set to increase the variety even more.

Part of the Dead of Winter series.

",2016,2,5,60,120,14,3.345,"[{'min': 4, 'max': 4}]","['Jonathan Gilmour-Long', 'Isaac Vega']","['Action Points', 'Area Movement', 'Cooperative Game', 'Dice Rolling', 'Hand Management', 'Push Your Luck']","['Bluffing', 'Deduction', 'Horror', 'Mature / Adult', 'Science Fiction', 'Zombies']"
371,Neuroshima Hex! 3.0,https://boardgamegeek.com/boardgame/21241/neuroshima-hex-30,7.098,7.39,15130.0,"Neuroshima Hex! is a strategy game set in the post-apocalyptic world of Neuroshima, a Polish role-playing game. Each player leads one of four armies: Borgo, Hegemonia (Hegemony), Moloch, and Posterunek (Outpost). Each army deck consists of 34 tiles: soldiers, support tiles, and special actions. You win when all enemy headquarters are destroyed or when your headquarters is the least damaged at the end of the game.

The second edition of Neuroshima Hex!, released at Spiel 2007, had updated graphics and a new, larger board; a special expansion pack sold at the same time included the Neuroshima Hex! Doomsday Machine 1.0, a fifth army that could be used against any of the other ones.

The first French edition of Neuroshima Hex!, released in 2008, included an additional four Mercenary tiles. The first English edition from Z-Man Games that same year includes the Mercenary tiles and the Mad Bomber tile.

Neuroshima Hex! 3.0, released in 2013 from Z-Man Games, includes rule corrections, the Doomsday Machine army (for five armies in the NH base game), a solo variant with 55 puzzle cards that present you with challenging situations, and new three-player variants: Deathmatch; Deathmatch with scores; one player vs. a team; and a team match (with one player playing two armies).

 The game is also expanded by Unofficial Neuroshima Hex! expansions, available here on BGG.

Note:  All base game and expansion armies in all versions/editions are functionally compatible!  The only differences between armies from e.g. 3.0 and 2.5 (or whatever) are art &amp; graphic design.

Note:  There is no solitaire bot/AI/system to compete against.  The only options for &quot;solo&quot; play are soloing multiple factions yourself, or solving puzzles (like Chess checkmate problems) available in some editions and expansions.

",2006,1,4,30,30,13,2.6101,"[{'min': 2, 'max': 2}]",['Michał Oracz'],"['Area Majority / Influence', 'Connections', 'Grid Movement', 'Hand Management', 'Hexagon Grid', 'Line of Sight']","['Collectible Components', 'Fighting', 'Puzzle', 'Science Fiction']"
372,Distilled,https://boardgamegeek.com/boardgame/295895/distilled,7.098,7.86,4988.0,"Distilled is a highly thematic strategy card game about crafting spirits in a distillery, with resource management and push-your-luck elements. In the game, you have inherited a distillery and are hoping to someday achieve the title of master distiller through purchasing goods, building up your distillery, and creating the world's most renowned spirits.

Purchase new ingredients and invest in upgrades to your distillery, all while eventually distilling the spirit and sending it to the warehouse. Once in the warehouse, age your spirit to enhance its flavor and bottle it to sell it for major profits!

Achieve the title of Master Distiller by having the most spirit points at the end of the game. Points are obtained by distilling and selling spirits.

&mdash;description from the designer

",2023,1,5,30,150,14,2.9615,"[{'min': 3, 'max': 3}]",['Dave Beck'],"['Hand Management', 'Income', 'Market', 'Push Your Luck', 'Set Collection']","['Card Game', 'Economic', 'Industry / Manufacturing']"
373,Raiders of Scythia,https://boardgamegeek.com/boardgame/301880/raiders-of-scythia,7.097,7.75,5673.0,"Many centuries ago, the Greek, Persian and Assyrian empires controlled vast amounts of land and riches. Yet, despite their fortifications and imposing armies, rumours began spreading of a formidable foe in the lands above the Black Sea. They came on horseback. Fierce warriors, both male and female. Skilled with the sword, axe and bow. But they weren&rsquo;t mindless savages. Their artisans were renowned for their ability to craft detailed trinkets of gold. They fashioned leather armour and improvised the recurve bow. They trained eagles for hunting and war. Some even believe they inspired the Greek tales of the Amazons. But they were more than legend or fable. They were the Raiders of Scythia.

The aim of Raiders of Scythia is to be the player with the most Victory Points (VP) at the game&rsquo;s end. VP are gained by raiding Settlements, taking Plunder and completing Quests. Players will need to assemble a Crew, train Animals and gather Provisions. The game ends when there is only 2 unraided Settlements or 2 Quests remaining on the Main Board.

&mdash;description from the publisher

",2020,1,4,60,80,12,2.7412,"[{'min': 3, 'max': 3}]",['Shem Phillips'],"['Contracts', 'Dice Rolling', 'Hand Management', 'Open Drafting', 'Solo / Solitaire Game', 'Variable Player Powers']",['Ancient']
374,Flamecraft,https://boardgamegeek.com/boardgame/336986/flamecraft,7.096,7.43,14513.0,"Artisan dragons, the smaller and magically talented versions of their larger (and destructive) cousins, are sought by shopkeepers so that they may delight customers with their flamecraft. You are a Flamekeeper, skilled in the art of conversing with dragons, placing them in their ideal home and using enchantments to entice them to produce wondrous things. Your reputation will grow as you aid the dragons and shopkeepers, and the Flamekeeper with the most reputation will be known as the Master of Flamecraft.

In Flamecraft, 1-5 players take on the role of Flamekeepers, gathering items, placing dragons and casting enchantments to enhance the shops of the town. Dragons are specialized (bread, meat, iron, crystal, plant and potion) and the Flamekeepers know which shops are the best home for each. Visit a shop to gain items and a favor from one of the dragons there.  Gathered items can be used to enchant a shop, gaining reputation and the favors of all the dragons in the shop. If you are fortunate enough to attract fancy dragons then you will have opportunities to secure even more reputation.

&mdash;description from publisher

",2022,1,5,60,60,10,2.1748,"[{'min': 3, 'max': 3}]",['Manny Vega'],"['Contracts', 'End Game Bonuses', 'Hand Management', 'Modular Board', 'Set Collection', 'Solo / Solitaire Game']","['Animals', 'Card Game', 'City Building', 'Fantasy']"
375,Antiquity,https://boardgamegeek.com/boardgame/13122/antiquity,7.096,7.84,4491.0,"From the Manufacturer:

&quot;These fields no longer yield grain the way they used to,&quot; complains the farmer. &quot;We should settle new lands before our food runs out. Why don't we start farming olives, like our neighbors?&quot;

The cart-driver nods: &quot;Ever since them city folks started worshiping San Giorgio I have to travel further and further to new building sites. I'm on my way now to the new inn they built. I'll change horses there and deliver this load,&quot; he gestures towards the pile of wood in the cart with his head &quot;to the sea beyond. Gonna start some fisheries there. It is said we'll conquer those olive-farmers before long. But their land is even more polluted than ours.&quot;

The farmer nods his head in reply. As the cart starts moving again, he returns to the field to harvest the last bushels of grain, growing between the stumps of what used to be a lush forest -- three turns ago.

Antiquity is a strategy game for 2-4 players. It is set in an environment loosely modeled on Italy in the late Middle Ages. Players choose their own victory condition: they can focus on population growth, trade, conquest, or city building by choosing their patron saint.

Each strategy requires a completely different style of play. Or you can choose to adore Santa Maria, the most powerful saint of all -- but you'll be expected to build a civilization twice as impressive as any other player.

While your economy is constantly improving, with more and more advanced cities bringing new options each turn, the land around your cities is slowly being depleted, forcing you to travel further and further to gather your raw materials -- until finally, there is no more land left to farm. Let's hope one of you has won the game before that time!

",2004,2,4,120,180,14,4.3187,"[{'min': 2, 'max': 3}]","['Jeroen Doumen', 'Joris Wiersinga']","['Grid Coverage', 'Hexagon Grid', 'Modular Board', 'Square Grid', 'Tile Placement', 'Trading']","['City Building', 'Civilization', 'Economic', 'Environmental', 'Medieval']"
376,Summoner Wars (Second Edition),https://boardgamegeek.com/boardgame/332800/summoner-wars-second-edition,7.096,8.12,3746.0,"Summoner Wars puts you in the role of a powerful summoner in control of a unique army, dedicated to taking control of the war-torn planet of Itharia. Display your tactical prowess by summoning units to your gates, outmaneuvering your opponent, and cutting down the enemy summoner to claim victory. Be wary though! The enemy will take advantage of every opportunity they find to destroy you and your army.

Countless units, a wide variety of spells and abilities, and the option to build your own decks, all make for a game sure to entertain, play after play.

Summoner Wars (Second Edition) is a fully expandable, tactical dueling card game that features updated versions of beloved factions, along with exciting new factions ready to join the battle. The game &mdash; which features new art and a perfected rules system &mdash; can be played in-person with physical cards or online with a browser-based app.


",2021,2,2,40,60,9,2.6082,"[{'min': 2, 'max': 2}]",['Colby Dauch'],"['Action Points', 'Card Play Conflict Resolution', 'Deck Construction', 'Dice Rolling', 'Die Icon Resolution', 'Grid Movement']","['Card Game', 'Fantasy', 'Fighting']"
377,Tekhenu: Obelisk of the Sun,https://boardgamegeek.com/boardgame/297030/tekhenu-obelisk-of-the-sun,7.096,7.71,5873.0,"Four millennia ago on the eastern bank of the Nile river was laid the foundation of the Temple of Amun-Ra. Over the course of two thousand years, the temple complex was gradually expanded and became widely known as &quot;The Most Select of Places&quot; (Ipet-Isut), boasting the largest religious building in the world. Today, the site is known as Karnak, located at Luxor in modern-day Egypt.

Join ancient Pharaohs in creating and growing one of the most impressive sites the world has seen, honoring the Egyptian gods Horus, Ra, Hathor, Bastet, Thoth, and Osiris. You must carefully manage the balance of your actions, preparing for the reckoning by the goddess Maat.

The game board in Tekhenu: Obelisk of the Sun is divided into six sections, each associated with an Egyptian god: Horus, Ra, Hathor, Bastet, Thoth, and Osiris. In the center stands an impressive obelisk (Tekhenu) that casts its shadow onto different parts of the board. As a result, the area around the obelisk is divided into sunny, shaded, and dark sections, depending on how the obelisk casts its shadow at that particular moment. As the game progresses, the sun's rotation alters which sections are sunny, shaded, or dark.

The game takes place over multiple rounds. Each round, players draft dice and perform actions associated with the value of the die and the section from which the die was drafted. Dice come in five colors, and each die is considered Pure, Tainted, or Forbidden depending on the color of the die and the position of the obelisk's shadow. While you may never draft Forbidden dice, you are free to draft any other die, whether Pure or Tainted.

As you draft the dice, you must consider not only the general availability of dice &mdash; if no dice are available in a given section, then you cannot readily perform the action associated with that section &mdash; but also which value die to draft. You must also consider the purity of the dice to draft, as you must balance your Pure and Tainted actions if you want to have a more favorable position in turn order.

When you draft a die, you can perform an action depending on the section you took the die from. Each of the actions corresponds to a different Egyptian god: Horus, Ra, Hathor, Bastet, Thoth and Osiris. Instead of a god action, you can choose to produce, generating resources based on the color and value of the die, but beware of producing in excess of your production capacity, as this is Greed and adds Taint to your balance!

Two scoring phases occur during the game, during which players earn victory points based on the workshops, quarries, buildings, statues and pillars they have built, as well as the happiness of their people and production capacity of their resources. However, players must also keep a healthy amount of resources around to sustain their population or they suffer negative consequences.

",2020,1,4,60,120,14,4.0614,"[{'min': 3, 'max': 3}]","['Daniele Tascini', 'Dávid Turczi']","['Action Drafting', 'Income', 'Open Drafting', 'Pattern Building', 'Turn Order: Stat-Based', 'Variable Set-up']","['Ancient', 'Dice', 'Mythology']"
378,Innovation,https://boardgamegeek.com/boardgame/63888/innovation,7.095,7.3,18659.0,"This game by Carl Chudyk is a journey through innovations from the stone age through modern times.  Each player builds a civilization based on various technologies, ideas, and cultural advancements, all represented by cards.  Each of these cards has a unique power which will allow further advancement, point scoring, or even attacking other civilizations.  Be careful though, as other civilizations may be able to benefit from your ideas as well!

To win, you must score achievements, which you can attain by amassing points or by meeting certain criteria with the innovations you have built.  Plan your civilization well, and outmaneuver your opponents, and with some luck you will achieve victory!

",2010,2,4,45,60,12,2.7653,"[{'min': 2, 'max': 2}]",['Carl Chudyk'],"['Hand Management', 'Layering', 'Melding and Splaying', 'Take That', 'Tech Trees / Tech Tracks', 'Variable Phase Order']","['Card Game', 'Civilization']"
379,Sea Salt & Paper,https://boardgamegeek.com/boardgame/367220/sea-salt-and-paper,7.094,7.48,10217.0,"During your turn, you assemble your hand, maybe place cards for their effect, and decide if you want to end the round. But do you think you are the one with the most points in hand?
You will have to choose: stop the round immediately or give the others an extra turn to try to extend the gap? Is it worth taking the risk? 
The game ends when you reach 30/35/40 points (4/3/2 players).

The excitement of ending the round to catch your opponents off guard

The pleasure of playing your effect cards and making combos

It's a set collection card game like Rummy. The origami created especially for the game is just the illustrations on the cards.

",2022,2,4,30,45,8,1.4402,"[{'min': 2, 'max': 2}]","['Bruno Cathala', 'Théo Rivière']","['Hand Management', 'Open Drafting', 'Push Your Luck', 'Set Collection']","['Animals', 'Card Game', 'Nautical']"
380,Project L,https://boardgamegeek.com/boardgame/260180/project-l,7.093,7.49,9838.0,"Build pieces, develop an engine, perfect your strategy, and win the game!

Project L is a fast-paced, tile-matching brain burner with triple-layer 3D puzzles and lovely acrylic pieces. Challenge your friends to a game of simple design but intricate gameplay that makes a lasting impression!

The core of the game lies in using your pieces to complete puzzles. Starting with just two basic pieces, you use three actions every turn to develop a powerful engine. With more pieces of various types, you can efficiently complete even the most difficult puzzles. The puzzles you complete award you points or new pieces to further fuel your engine. Can you outsmart your opponents?

&mdash;description from the publisher

",2020,1,4,20,40,8,1.5566,"[{'min': 2, 'max': 3}]","['Michal Mikeš', 'Jan Soukal', 'Adam Španěl']","['Action Points', 'Open Drafting', 'Pattern Building', 'Resource Queue', 'Tile Placement']","['Abstract Strategy', 'Puzzle', 'Video Game Theme']"
381,Mission: Red Planet (Second Edition),https://boardgamegeek.com/boardgame/176920/mission-red-planet-second-edition,7.093,7.41,11574.0,"With technology rapidly developing and the human population growing, Victorian-era Earth is in dire need of fuel, land, and other natural resources. Fortunately, automated probes sent to Mars have discovered celerium, an ore that can be combusted to produce ten thousand times more power than a steam engine, and sylvanite, the densest substance ever found. More incredibly, the probes found ice that could be used in terraforming the planet, bringing the idea of colonizing Mars even closer to becoming a reality.

As the head of a mining corporation, these minerals and ice found on Mars could make you unfathomably wealthy &ndash; if you can reach them before your competitors. You have ten rounds to send your astronauts into space, occupy the planet's most resource-rich zones, and harvest as much celerium, sylvanite, and ice as possible. At your command is a team of nine professionals. Each has a unique skill set, from helping your astronauts traverse the Red Planet to blowing up spaceships before they launch.

In each round in Mission: Red Planet, players start by secretly deploying one of their character cards, with this card determining both when they place astronauts on the spaceships awaiting launch to Mars and which special action they take during the round. Each spaceship has a specified destination, and until an astronaut sets foot in a region, no one knows which resource they'll find. Players collect resources (worth points) three times during the game, and they each have a secret mission card that might grant them additional points at game's end. During the game, players might acquire an additional mission or a research card that changes the value of what awaits on Mars.

The 2015 edition of Mission: Red Planet features the same gameplay as the original 2005 edition, but it includes:


    Components for up to six players instead of five
    Special two-player variant rules
    New action cards and revised mission and discovery cards
    Mars' moon Phobos as a new zone that astronauts can explore before possibly returning to the planet itself


",2015,2,6,45,90,14,2.2007,"[{'min': 4, 'max': 4}]","['Bruno Cathala', 'Bruno Faidutti']","['Action Retrieval', 'Area Majority / Influence', 'Area Movement', 'Hand Management', 'Simultaneous Action Selection', 'Take That']",['Science Fiction']
382,Forest Shuffle,https://boardgamegeek.com/boardgame/391163/forest-shuffle,7.093,7.62,7131.0,"In Forest Shuffle, players compete to gather the most valuable trees, then attract species to these trees, thus creating an ecologically balanced habitat for flora and fauna.

To start, each player has six cards in hand, with cards depicting either a particular type of tree or two forest dwellers (animal, plant, mushroom, etc.), with these latter cards being divided in half, whether vertically or horizontally, with one dweller in each card half.

On a turn, either draw two cards &mdash; whether face down from the deck or face up from the clearing &mdash; and add them to your hand, or play a card from your hand by paying the cost, then putting it into play.

During set-up, three winter cards were placed into the bottom third of the deck. When the third winter card is drawn, the game ends immediately, then players tally their points based on the trees and dwellers in their forest. Whoever scores the most points wins.

Forest Shuffle is the first in a line of Lookout games sporting the Lookout Greenline label, produced on FSC certified paper and avoiding plastic completely.

",2023,2,5,40,60,10,2.175,"[{'min': 2, 'max': 2}]",['Kosch'],"['End Game Bonuses', 'Hand Management', 'Layering', 'Multi-Use Cards', 'Open Drafting', 'Set Collection']","['Animals', 'Card Game', 'Educational', 'Environmental']"
383,Bärenpark,https://boardgamegeek.com/boardgame/219513/barenpark,7.092,7.29,19131.0,"Up to two thousand pounds in weight and over ten feet tall, the bear is considered the biggest and heaviest terrestrial carnivore in the world. Of course, there is not just &quot;one bear;&quot; on the contrary, there are plenty of subspecies that differ from each other in various aspects. For instance, only the Kodiak bear (ursus arctos middendorffi) weighs about 2,000 lbs. The polar bear (ursus maritimus) weighs &quot;only&quot; 1,100 lbs., but gets much bigger than the Kodiak bear, being as much as 11 ft. tall!

B&auml;renpark takes you into the world of bears, challenging you to build your own bear park. Would you like another polar bear enclosure or rather a koala* house? The park visitors are sure to get hungry on their tour through the park, so build them places to eat! Whatever your choices are, make sure you get the next building permit and use your land wisely! (* No, koalas aren't bears but they're so cute, we couldn't leave them out of this game!)

In more detail, each player in B&auml;renpark builds their own bear park, attempting to make it as beautiful as they can, while also using every square meter possible. The park is created by combining polyomino tiles onto a grid, with players scoring for animal houses, outdoor areas, completed construction, and more. The sooner you build it, the better! Cover icons to get new tiles and park sections. The game ends as soon as one player has finished expanding their park, then players tally their points to see who has won.

&mdash;description from the publisher

",2017,2,4,30,45,8,1.6508,"[{'min': 4, 'max': 4}]",['Phil Walker-Harding'],"['Grid Coverage', 'Open Drafting', 'Set Collection', 'Tile Placement']","['Animals', 'Puzzle']"
384,Sid Meier's Civilization: The Board Game,https://boardgamegeek.com/boardgame/77130/sid-meiers-civilization-the-board-game,7.092,7.38,15949.0,"Please note: this entry covers the 2010 release of Sid Meier&rsquo;s Civilization: The Board Game from FFG. This game is unrelated to the similarly named 2002 Eagle Games Sid Meier's Civilization: The Boardgame.

From Press Release:

Before you lies a vast bounty of land, ripe for the plucking. Your meager beginnings will influence the paths you must take. Lead your people well and they will take you to infinite heights of greatness. If civilization manages to endure the ages, your name will hang in every whisper of its legacy...

Fantasy Flight Games is excited to announce the upcoming release of Sid Meier&rsquo;s Civilization: The Board Game! Forge an empire to stand the test of time using innovative game mechanics with multiple paths to victory.

Will you lead the greatest army in the world to conquer your foes? Or will you be the first to journey to the stars, becoming the most technologically advanced civilization known to man? The choice is yours.

Designed by Kevin Wilson, Civilization: The Board Game is inspired by the legendary video game series created by Sid Meier. Players are tasked with guiding an entire civilization throughout the ages, taking ownership of your people&rsquo;s technology, economy, culture, and military, as well as all the choices that go along with them. There are four different paths to victory, and each is riddled with opposition.

In Civilization: The Board Game, 2-4 players take on the roles of famous leaders in charge of historical civilizations, each with their own abilities. Players will be able to explore a module game board, build cities and buildings, fight battles, research powerful technology, and attract great people by advancing their culture. No matter what your play style is, there is a civilization for you!

Fans of Sid Meier&rsquo;s classic video game franchise will find familiar footing in Civilization: The Board Game. Staying true to the foundations of its video game predecessor while creating a new and unique way to play, Civilization: The Board Game captures the spirit and grandeur of carving out a magnificent empire from modest beginnings.

Players start off with a single city, one army figure, and one scout, and from these meager origins you must forge through the ages and become the greatest civilization in the world.

Those unfamiliar with the video game series will find Civilization: The Board Game a great way to enter into the world of Civilization. The strategy and tactical decisions involved in Civilization: The Board Game will appeal to strategy gamers and war gamers alike, and the ability to win through culture and technological advancement will give those who only wish to focus on their own empire a chance at victory as well.

",2010,2,4,120,240,13,3.8947,"[{'min': 4, 'max': 4}]",['Kevin Wilson'],"['Deck, Bag, and Pool Building', 'Grid Movement', 'Hand Management', 'Modular Board', 'Open Drafting', 'Rock-Paper-Scissors']","['City Building', 'Civilization', 'Exploration', 'Negotiation', 'Video Game Theme']"
